TSP_10_1.dat,42.1044,0.2577,42.1044,0.1421,0.0,1.81
TSP_10_2.dat,40.585,0.2497,40.585,0.1611,0.0,1.55
TSP_10_3.dat,39.9835,0.2306,39.9835,0.1464,0.0,1.58
TSP_10_4.dat,40.8729,0.285,40.8729,0.1157,0.0,2.46
TSP_10_5.dat,39.6283,0.2702,39.6283,0.1793,0.0,1.51
TSP_10_6.dat,39.2479,0.2279,39.2479,0.1595,0.0,1.43
TSP_10_7.dat,41.6571,0.2481,41.6571,0.1521,0.0,1.63
TSP_10_8.dat,41.3277,0.3347,41.3277,0.1334,0.0,2.51
TSP_25_1.dat,117.5848,1.4,121.0208,0.4801,-2.8392,2.92
TSP_25_2.dat,114.5453,0.7831,116.9371,0.5295,-2.0454,1.48
TSP_25_3.dat,116.3888,1.2669,119.5117,0.4263,-2.613,2.97
TSP_25_4.dat,116.8552,0.9641,118.3463,0.5039,-1.2599,1.91
TSP_25_5.dat,114.5004,1.0392,118.2204,0.5577,-3.1467,1.86
TSP_25_6.dat,109.9704,1.6192,112.7662,0.5026,-2.4793,3.22
TSP_25_7.dat,113.8732,0.6487,114.564,0.4637,-0.603,1.4
TSP_25_8.dat,109.9128,0.3907,109.9128,0.5222,0.0,0.75
TSP_25_9.dat,124.9924,0.6006,131.0302,0.5286,-4.6079,1.14
TSP_50_1.dat,146.08,4.2766,158.2897,3.0452,-7.7135,1.4
TSP_50_2.dat,144.322,8.1265,158.7165,3.3085,-9.0693,2.46
TSP_50_3.dat,146.3909,6.5681,156.1423,3.0735,-6.2452,2.14
TSP_50_4.dat,138.1332,6.0332,149.326,2.8179,-7.4955,2.14
TSP_50_5.dat,136.596,5.8066,142.0716,3.2037,-3.8541,1.81
TSP_50_6.dat,145.1683,5.561,152.0125,3.2483,-4.5024,1.71
TSP_50_7.dat,130.2013,12.1113,135.9899,3.2215,-4.2566,3.76
TSP_50_8.dat,135.8707,5.65,146.4733,3.1128,-7.2386,1.82
TSP_50_9.dat,134.6858,5.8418,144.1011,3.2332,-6.5338,1.81
TSP_75_1.dat,450.5143,37.2917,481.808,16.0154,-6.4951,2.33
TSP_75_2.dat,418.8488,56.4847,442.5938,15.5979,-5.365,3.62
TSP_75_3.dat,389.062,51.6793,402.5947,17.7486,-3.3614,2.91
TSP_75_4.dat,444.3585,63.7516,460.0896,17.4065,-3.4191,3.66
TSP_75_5.dat,458.2926,34.0651,495.8942,16.0858,-7.5826,2.12
TSP_75_6.dat,475.2658,52.774,513.6851,18.8757,-7.4792,2.8
TSP_75_7.dat,415.6373,40.6911,451.2295,15.5708,-7.8878,2.61
TSP_75_8.dat,417.5275,51.7496,467.2923,16.8591,-10.6496,3.07
TSP_75_9.dat,449.0168,43.3595,481.411,15.8453,-6.729,2.74
TSP_100_1.dat,517.1964,121.7011,562.0855,32.8537,-7.9862,3.7
TSP_100_2.dat,473.296,300.0476,517.6495,36.3481,-8.5682,8.25
TSP_100_3.dat,491.1374,184.602,538.9852,38.6829,-8.8774,4.77
TSP_100_4.dat,480.4839,140.4908,511.0467,36.05,-5.9804,3.9
TSP_100_5.dat,541.8146,144.6668,604.2694,33.7766,-10.3356,4.28
TSP_100_6.dat,477.279,191.0833,524.8286,33.5939,-9.06,5.69
TSP_100_7.dat,502.4607,200.8718,557.1537,32.9219,-9.8165,6.1
TSP_100_8.dat,478.18,88.9921,518.6339,32.3897,-7.8001,2.75
TSP_100_9.dat,503.1572,201.8372,568.9786,31.9742,-11.5683,6.31


